origin_date,forecast_period,dimension_type,dimension_value,metric,actual,p10,p50,p90,absolute_error,ape,smape,covered_by_interval
2025-04-03,90_days,CampaignType,SOCIAL,ROAS,13.8842,3.19,9.91,16.63,3.9742,28.6238,33.4046,True
2025-04-03,90_days,CampaignType,VIDEO,Revenue,0.0,40.11,802.2,6107.58,802.2,0.0,200.0,False
2025-04-03,90_days,CampaignType,VIDEO,ROAS,0.0,0.03,0.54,4.1,0.54,0.0,200.0,False
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_10,Revenue,19152.1571,811.75,16235.09,66408.44,2917.0671,15.231,16.4865,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_10,ROAS,3.776,0.22,4.47,18.29,0.694,18.3795,16.8327,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_10,Revenue,27743.7183,1273.55,25471.01,109852.19,2272.7083,8.1918,8.5417,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_10,ROAS,3.9279,0.22,4.31,18.6,0.3821,9.7291,9.2777,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_10,Revenue,41258.144,1757.17,35143.38,149513.9,6114.764,14.8207,16.0069,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_10,ROAS,4.1144,0.22,4.38,18.65,0.2656,6.4545,6.2527,True
2025-04-03,30_days,Campaign,Search_TM_Campaign_01,Revenue,70924.0451,10662.42,45660.81,80659.2,25263.2351,35.6201,43.3388,True
2025-04-03,30_days,Campaign,Search_TM_Campaign_01,ROAS,9.0667,2.05,8.78,15.52,0.2867,3.1623,3.2131,True
2025-04-03,60_days,Campaign,Search_TM_Campaign_01,Revenue,103860.9333,29851.5,88711.54,147571.58,15149.3933,14.5862,15.7337,True
2025-04-03,60_days,Campaign,Search_TM_Campaign_01,ROAS,9.6915,2.75,8.18,13.6,1.5115,15.5958,16.9148,True
2025-04-03,90_days,Campaign,Search_TM_Campaign_01,Revenue,119415.5815,53298.48,133077.56,212856.63,13661.9785,11.4407,10.8217,True
2025-04-03,90_days,Campaign,Search_TM_Campaign_01,ROAS,8.3062,3.3,8.25,13.19,0.0562,0.6764,0.6786,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_08,Revenue,23028.6272,1248.04,24960.73,75658.29,1932.1028,8.39,8.0522,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_08,ROAS,12.3089,0.54,10.86,32.93,1.4489,11.7715,12.5077,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_08,Revenue,41781.0319,2503.85,50077.08,135339.87,8296.0481,19.856,18.0627,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_08,ROAS,13.7932,0.54,10.82,29.25,2.9732,21.5557,24.1596,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_08,Revenue,43920.5257,3744.41,74888.13,190453.58,30967.6043,70.5083,52.1302,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_08,ROAS,13.2079,0.54,10.79,27.43,2.4179,18.3066,20.1511,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_05,Revenue,19829.2444,935.15,18703.09,63834.93,1126.1544,5.6793,5.8452,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_05,ROAS,13.4069,0.49,9.83,33.56,3.5769,26.6797,30.7866,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_05,Revenue,37856.2095,1875.55,37511.02,113413.43,345.1895,0.9118,0.916,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_05,ROAS,14.558,0.49,9.78,29.57,4.778,32.8205,39.2638,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_05,Revenue,39983.7911,2817.49,56349.8,159228.15,16366.0089,40.9316,33.9778,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_05,ROAS,13.844,0.49,9.79,27.67,4.054,29.2836,34.3067,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_12,Revenue,4829.9218,156.47,3129.44,15049.9,1700.4818,35.2072,42.7291,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_12,ROAS,6.1332,0.19,3.83,18.4,2.3032,37.5527,46.2337,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_12,Revenue,11325.233,370.8,7415.92,27463.66,3909.313,34.5186,41.719,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_12,ROAS,5.8584,0.18,3.51,12.98,2.3484,40.0859,50.1343,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_12,Revenue,13834.6437,655.82,13116.44,40289.22,718.2037,5.1913,5.3297,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_12,ROAS,5.6651,0.18,3.7,11.36,1.9651,34.6877,41.9663,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_07,Revenue,16968.9166,952.67,19053.37,53329.41,2084.4534,12.284,11.5731,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_07,ROAS,12.4417,0.71,14.16,39.64,1.7183,13.8111,12.9189,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_07,Revenue,33710.1199,1904.97,38099.43,95744.62,4389.3101,13.0207,12.2249,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_07,ROAS,13.378,0.71,14.14,35.53,0.762,5.696,5.5383,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_07,Revenue,36234.6478,2857.32,57146.35,135278.83,20911.7022,57.7119,44.7879,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_07,ROAS,12.8784,0.71,14.15,33.49,1.2716,9.874,9.4094,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_15,Revenue,9584.0844,682.23,13644.6,33311.36,4060.5156,42.3673,34.9612,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_15,ROAS,13.5792,0.92,18.34,44.77,4.7608,35.0592,29.8301,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_15,Revenue,22054.6916,1365.05,27301.0,60376.41,5246.3084,23.7877,21.2592,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_15,ROAS,15.9479,0.9,18.05,39.92,2.1021,13.1814,12.3664,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_15,Revenue,24924.7091,2061.4,41228.03,86058.54,16303.3209,65.4103,49.2899,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_15,ROAS,15.0482,0.68,13.63,28.45,1.4182,9.4247,9.8908,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_19,Revenue,3742.933,226.05,4520.97,20489.77,778.037,20.7868,18.8298,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_19,ROAS,9.3414,0.41,8.19,37.11,1.1514,12.326,13.1355,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_19,Revenue,6998.3515,453.05,9060.94,35917.15,2062.5885,29.4725,25.6872,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_19,ROAS,6.2298,0.41,8.11,32.14,1.8802,30.1807,26.2235,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_19,Revenue,9370.0391,681.86,13637.25,50038.23,4267.2109,45.541,37.0944,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_19,ROAS,6.1259,0.41,8.15,29.9,2.0241,33.0418,28.357,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_13,Revenue,1557.9052,255.21,5104.2,16335.81,3546.2948,227.6323,106.4617,True
2025-04-03,30_days,Campaign,Pmax_NTM_Campaign_13,ROAS,16.965,0.3,5.99,19.18,10.975,64.692,95.6218,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_13,Revenue,1557.9052,499.06,9981.27,28870.5,8423.3648,540.6853,145.996,True
2025-04-03,60_days,Campaign,Pmax_NTM_Campaign_13,ROAS,16.965,0.28,5.55,16.05,11.415,67.2856,101.399,False
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_13,Revenue,1557.9052,762.79,15255.88,40858.4,13697.9748,879.256,162.9374,True
2025-04-03,90_days,Campaign,Pmax_NTM_Campaign_13,ROAS,16.965,0.27,5.35,14.33,11.615,68.4645,104.1004,False
2026-03-08,30_days,Overall,Total Portfolio,Revenue,350133.2681,288986.43,400288.9,511591.38,50155.6319,14.3247,13.3673,True
2026-03-08,30_days,Overall,Total Portfolio,ROAS,7.2276,4.38,6.06,7.75,1.1676,16.1546,17.5741,True
2026-03-08,60_days,Overall,Total Portfolio,Revenue,726472.625,616286.78,803474.49,990662.2,77001.865,10.5994,10.066,True
2026-03-08,60_days,Overall,Total Portfolio,ROAS,6.2292,4.58,5.97,7.36,0.2592,4.1606,4.249,True
2026-03-08,90_days,Overall,Total Portfolio,Revenue,1069273.7927,946444.19,1200158.97,1453873.76,130885.1773,12.2406,11.5346,True
2026-03-08,90_days,Overall,Total Portfolio,ROAS,5.7835,4.72,5.98,7.25,0.1965,3.3981,3.3414,True
2026-03-08,30_days,Channel,Bing Ads,Revenue,305.85,115.52,2310.46,13445.51,2004.61,655.4226,153.2395,True
2026-03-08,30_days,Channel,Bing Ads,ROAS,0.3629,0.05,1.09,6.34,0.7271,200.3175,100.0793,True
2026-03-08,60_days,Channel,Bing Ads,Revenue,4609.95,280.08,5601.64,24328.5,991.69,21.5119,19.4228,True
2026-03-08,60_days,Channel,Bing Ads,ROAS,0.9136,0.07,1.34,5.83,0.4264,46.6761,37.844,True
2026-03-08,90_days,Channel,Bing Ads,Revenue,10714.59,393.01,7860.11,33242.54,2854.48,26.6411,30.7351,True
